# Chi2 Rg SupportVolume
5.30126e+02 1.76942e+02 6.49648e+07
5.29531e+02 1.76943e+02 6.49648e+07
5.28938e+02 1.76941e+02 6.49648e+07
5.28345e+02 1.76938e+02 6.49648e+07
5.27751e+02 1.76936e+02 6.49648e+07
5.27158e+02 1.76933e+02 6.49648e+07
5.26567e+02 1.76930e+02 6.49648e+07
5.25981e+02 1.76929e+02 6.49648e+07
5.25399e+02 1.76928e+02 6.49648e+07
5.24817e+02 1.76926e+02 6.49648e+07
5.24236e+02 1.76925e+02 6.49648e+07
5.23656e+02 1.76923e+02 6.49648e+07
5.23080e+02 1.76921e+02 6.49648e+07
5.22505e+02 1.76918e+02 6.49648e+07
5.21934e+02 1.76915e+02 6.49648e+07
5.21365e+02 1.76912e+02 6.49648e+07
5.20795e+02 1.76908e+02 6.49648e+07
5.20225e+02 1.76904e+02 6.49648e+07
5.19657e+02 1.76899e+02 6.49648e+07
5.19089e+02 1.76894e+02 6.49648e+07
5.18523e+02 1.76891e+02 6.49648e+07
5.17957e+02 1.76887e+02 6.49648e+07
5.17392e+02 1.76883e+02 6.49648e+07
5.16828e+02 1.76880e+02 6.49648e+07
5.16266e+02 1.76877e+02 6.49648e+07
5.15705e+02 1.76876e+02 6.49648e+07
5.15144e+02 1.76877e+02 6.49648e+07
5.14584e+02 1.76878e+02 6.49648e+07
5.14023e+02 1.76879e+02 6.49648e+07
5.13464e+02 1.76880e+02 6.49648e+07
5.12909e+02 1.76882e+02 6.49648e+07
5.12354e+02 1.76885e+02 6.49648e+07
5.11797e+02 1.76887e+02 6.49648e+07
5.11241e+02 1.76889e+02 6.49648e+07
5.10685e+02 1.76894e+02 6.49648e+07
5.10129e+02 1.76898e+02 6.49648e+07
5.09576e+02 1.76902e+02 6.49648e+07
5.09025e+02 1.76907e+02 6.49648e+07
5.08475e+02 1.76913e+02 6.49648e+07
5.07925e+02 1.76918e+02 6.49648e+07
5.07376e+02 1.76922e+02 6.49648e+07
5.06829e+02 1.76928e+02 6.49648e+07
5.06285e+02 1.76933e+02 6.49648e+07
5.05740e+02 1.76939e+02 6.49648e+07
